Index,Force [N],Crosshead [mm],epsX [%],epsY [%],epsXY []
299,3214.36882,1.939085,-0.25564,-0.484508,-0.060119
300,3220.125198,1.945801,-0.253856,-0.487322,-0.060362
301,3225.881577,1.952517,-0.258354,-0.490004,-0.060594
302,3231.637955,1.95923,-0.26098,-0.490178,-0.060811
303,3236.753464,1.965946,-0.262211,-0.493551,-0.061092
304,3241.87088,1.972662,-0.265778,-0.494211,-0.061301
305,3246.665955,1.979698,-0.269191,-0.491024,-0.061602
306,3252.742767,1.985773,-0.266136,-0.493489,-0.061865
307,3257.219315,1.992489,-0.271957,-0.494479,-0.062086
308,3262.336731,1.999205,-0.270561,-0.499096,-0.062362
309,3267.45224,2.005919,-0.27336,-0.509409,-0.062535
310,3272.569656,2.012634,-0.275162,-0.497267,-0.062801
311,3277.046204,2.01903,-0.278898,-0.502542,-0.063026
312,3282.482147,2.026066,-0.278096,-0.513714,-0.06326
313,3287.918091,2.032782,-0.278994,-0.519729,-0.06353
314,3292.076111,2.039177,-0.279805,-0.523353,-0.063763
315,3296.873093,2.045893,-0.282399,-0.523819,-0.064002
316,3301.988602,2.052288,-0.284645,-0.527662,-0.064276
317,3306.785583,2.059322,-0.284401,-0.531129,-0.064523
318,3312.541962,2.065718,-0.287623,-0.535525,-0.064771
319,3317.977905,2.072433,-0.291183,-0.537182,-0.064998
320,3323.093414,2.078829,-0.293094,-0.538595,-0.065249
321,3328.531265,2.085224,-0.294471,-0.541725,-0.065485
322,3333.646774,2.09226,-0.295526,-0.544869,-0.065734
323,3337.804794,2.099295,-0.296454,-0.546122,-0.065966
324,3342.601776,2.10569,-0.301688,-0.5496,-0.066195
325,3348.356247,2.112406,-0.300158,-0.55076,-0.066466
326,3351.875305,2.119442,-0.299844,-0.556824,-0.066713
327,3356.990814,2.125837,-0.299626,-0.559785,-0.066993
328,3362.108231,2.132233,-0.304624,-0.561093,-0.067201
329,3367.22374,2.138948,-0.311996,-0.559878,-0.067385
330,3372.020721,2.145662,-0.312157,-0.563801,-0.067642
331,3377.456665,2.152699,-0.310065,-0.569486,-0.067923
332,3381.933212,2.159414,-0.310561,-0.572757,-0.068189
333,3387.050629,2.16581,-0.315758,-0.57647,-0.068395
334,3392.486572,2.172205,-0.318528,-0.57657,-0.068645
335,3397.603989,2.1786,-0.315445,-0.579299,-0.068918
336,3402.719498,2.185316,-0.317756,-0.580934,-0.069142
337,3408.155441,2.192671,-0.319799,-0.58225,-0.069366
338,3413.272858,2.199066,-0.320904,-0.585265,-0.069667
339,3416.151047,2.205782,-0.323642,-0.590689,-0.069882
340,3421.58699,2.212498,-0.324515,-0.594153,-0.070136
341,3427.022934,2.219213,-0.329057,-0.591924,-0.070348
342,3430.860519,2.224968,-0.329552,-0.596807,-0.070611
343,3436.296463,2.232325,-0.331958,-0.597075,-0.07086
344,3441.732407,2.239038,-0.329265,-0.598927,-0.071123
345,3446.208954,2.245754,-0.332509,-0.599922,-0.071375
346,3450.366974,2.25247,-0.337278,-0.602975,-0.071546
347,3455.163956,2.259186,-0.329904,-0.610534,-0.071833
348,3458.360672,2.265581,-0.3511,-0.612553,-0.072076
349,3463.798523,2.272297,-0.34105,-0.613709,-0.072301
350,3468.27507,2.279011,-0.340997,-0.617559,-0.072572
351,3472.751617,2.285727,-0.344294,-0.619273,-0.072788
352,3478.507996,2.292442,-0.34551,-0.62553,-0.073057
353,3484.264374,2.298838,-0.351,-0.628108,-0.073311
354,3489.059448,2.305874,-0.350035,-0.622565,-0.073573
355,3493.537903,2.311949,-0.350996,-0.64098,-0.073831
356,3498.334885,2.318665,-0.354587,-0.638914,-0.074112
357,3502.490997,2.32538,-0.351728,-0.635193,-0.074308
358,3506.649017,2.332096,-0.35481,-0.623792,-0.074523
359,3511.125565,2.33913,-0.360413,-0.640829,-0.074685
360,3515.602112,2.345846,-0.359397,-0.643865,-0.074993
361,3519.439697,2.352242,-0.36283,-0.644026,-0.075165
362,3524.236679,2.358957,-0.363088,-0.651402,-0.07547
363,3529.352188,2.365353,-0.364298,-0.653604,-0.075691
364,3533.189774,2.372707,-0.370419,-0.653814,-0.07592
365,3538.30719,2.378464,-0.37107,-0.655522,-0.07615
366,3543.743134,2.385498,-0.374021,-0.661228,-0.076414
367,3547.899246,2.392214,-0.369401,-0.662707,-0.076632
368,3552.696228,2.39893,-0.371325,-0.659769,-0.076934
369,3557.172775,2.405645,-0.380999,-0.666575,-0.077106
370,3562.290192,2.412041,-0.375868,-0.661015,-0.077357
371,3566.127777,2.418756,-0.378018,-0.672628,-0.077672
372,3570.924759,2.425152,-0.383299,-0.678348,-0.077859
373,3574.44191,2.432186,-0.378919,-0.677007,-0.078129
374,3579.238892,2.438581,-0.388243,-0.678732,-0.07832
375,3584.354401,2.445618,-0.387787,-0.688133,-0.078717
376,3588.191986,2.452013,-0.391766,-0.701604,-0.078892
377,3592.988968,2.458729,-0.391731,-0.692061,-0.079145
378,3593.948364,2.465443,-0.395864,-0.694758,-0.079398
379,3598.424911,2.472479,-0.396447,-0.694702,-0.079631
380,3603.542328,2.479195,-0.393499,-0.699691,-0.07992
381,3607.698441,2.48591,-0.40044,-0.708601,-0.08016
382,3612.495422,2.491985,-0.40026,-0.705861,-0.080372
383,3616.333008,2.498701,-0.40507,-0.72297,-0.080578
384,3622.728348,2.505417,-0.407989,-0.721663,-0.08082
385,3628.805161,2.511812,-0.409758,-0.727176,-0.081038
386,3633.281708,2.518528,-0.40957,-0.732134,-0.081345
387,3639.677048,2.525562,-0.410076,-0.731752,-0.081602
388,3645.751953,2.531637,-0.414619,-0.736542,-0.081812
389,3649.909973,2.538994,-0.411535,-0.736015,-0.082098
390,3655.345917,2.545389,-0.422095,-0.739077,-0.082219
391,3659.503937,2.552105,-0.421449,-0.745354,-0.08251
392,3663.980484,2.5585,-0.426032,-0.733315,-0.082755
393,3668.457031,2.565535,-0.423441,-0.738292,-0.08304
394,3673.574448,2.57225,-0.428434,-0.744581,-0.083278
395,3677.73056,2.578646,-0.426829,-0.744351,-0.083579
396,3681.568146,2.58568,-0.425928,-0.748178,-0.08378
397,3686.365128,2.592077,-0.434408,-0.747128,-0.083935
398,3690.841675,2.598473,-0.431476,-0.751737,-0.084199
399,3696.598053,2.605188,-0.428055,-0.754951,-0.084489
400,3701.0746,2.611902,-0.434958,-0.756195,-0.084686
401,3706.192017,2.618618,-0.434786,-0.764023,-0.084947
402,3710.668564,2.625334,-0.434133,-0.766961,-0.085183
403,3715.465546,2.63205,-0.440569,-0.770847,-0.085406
404,3720.581055,2.638765,-0.440827,-0.770472,-0.085666
405,3725.378036,2.645161,-0.443002,-0.770852,-0.085861
406,3730.493546,2.651875,-0.438904,-0.775298,-0.086175
407,3734.972,2.65859,-0.442819,-0.780499,-0.0864
408,3738.809586,2.665306,-0.449801,-0.780825,-0.086576
409,3743.60466,2.672022,-0.447534,-0.784846,-0.086904
410,3748.401642,2.678738,-0.459691,-0.785298,-0.087123
411,3752.559662,2.685452,-0.463087,-0.789886,-0.087347
412,3756.715775,2.691849,-0.455251,-0.79039,-0.087639
413,3761.833191,2.698244,-0.448001,-0.788684,-0.087815
414,3765.670776,2.70496,-0.473612,-0.786235,-0.088012
415,3770.467758,2.711994,-0.460569,-0.795154,-0.088383
416,3775.583267,2.71871,-0.489941,-0.799225,-0.08845
417,3780.380249,2.725426,-0.46588,-0.799472,-0.088685
418,3784.856796,2.73214,-0.466129,-0.81315,-0.089011
419,3789.974213,2.738537,-0.469772,-0.812887,-0.089295
420,3794.771194,2.744932,-0.473203,-0.816149,-0.08947
421,3799.886703,2.751966,-0.463437,-0.819286,-0.089754
422,3805.963516,2.758362,-0.461417,-0.828632,-0.090044
423,3809.799194,2.765078,-0.469364,-0.827117,-0.090232
424,3813.957214,2.772114,-0.497426,-0.827078,-0.090498
425,3818.433762,2.778509,-0.502196,-0.830134,-0.090746
426,3821.632385,2.784904,-0.502569,-0.832057,-0.090899
427,3825.788498,2.791939,-0.516348,-0.830993,-0.091086
428,3829.946518,2.798334,-0.508635,-0.843091,-0.091426
429,3834.423065,2.80537,-0.508245,-0.842368,-0.091689
430,3838.260651,2.812086,-0.509409,-0.846408,-0.091912
431,3843.057632,2.8188,-0.508095,-0.840733,-0.092323
432,3846.895218,2.825197,-0.51434,-0.851303,-0.092394
433,3850.091934,2.831911,-0.520405,-0.853184,-0.092636
434,3853.92952,2.838627,-0.519056,-0.856301,-0.092935
435,3857.128143,2.845343,-0.528253,-0.870449,-0.093021
436,3860.965729,2.852058,-0.525969,-0.859562,-0.093412
437,3865.442276,2.858454,-0.525294,-0.860461,-0.093608
438,3869.918823,2.86517,-0.530671,-0.863025,-0.093892
439,3873.435974,2.872204,-0.529386,-0.865636,-0.094112
